neighborhood,date,temperature,humidity,ID,ndvi,population_density,temp_norm,hum_norm,ndvi_norm,pop_norm,risk_score
AshokNagar,2026-05-10,32.7,96,AshokNagar,0.5308714285714285,64.43917,0.9058171745152355,0.9896907216494846,0.7171999845601574,0.4546560476347951,0.7077562267509185
AshokNagar,2026-05-11,33.7,93,AshokNagar,0.5308714285714285,64.43917,0.9335180055401663,0.9587628865979382,0.7171999845601574,0.4546560476347951,0.7126509921505817
AshokNagar,2026-05-12,34.5,94,AshokNagar,0.5308714285714285,64.43917,0.9556786703601108,0.9690721649484536,0.7171999845601574,0.4546560476347951,0.7235771137486625
AshokNagar,2026-05-13,34.4,93,AshokNagar,0.5308714285714285,64.43917,0.9529085872576176,0.9587628865979382,0.7171999845601574,0.4546560476347951,0.7204072248375621
AshokNagar,2026-05-14,35.2,94,AshokNagar,0.5308714285714285,64.43917,0.9750692520775623,0.9690721649484536,0.7171999845601574,0.4546560476347951,0.7313333464356432
AshokNagar,2026-05-15,35.9,92,AshokNagar,0.5308714285714285,64.43917,0.9944598337950138,0.9484536082474226,0.7171999845601574,0.4546560476347951,0.7349658677824176
AshokNagar,2026-05-16,35.5,95,AshokNagar,0.5308714285714285,64.43917,0.9833795013850415,0.979381443298969,0.7171999845601574,0.4546560476347951,0.7367193018287379
KharavelaNagar,2026-05-10,32.7,96,KharavelaNagar,0.5745142857142858,91.31104,0.9058171745152355,0.9896907216494846,0.7761608831589919,0.6442528131852517,0.7338834001412431
KharavelaNagar,2026-05-11,33.7,93,KharavelaNagar,0.5745142857142858,91.31104,0.9335180055401663,0.9587628865979382,0.7761608831589919,0.6442528131852517,0.7387781655409063
KharavelaNagar,2026-05-12,34.5,94,KharavelaNagar,0.5745142857142858,91.31104,0.9556786703601108,0.9690721649484536,0.7761608831589919,0.6442528131852517,0.749704287138987
KharavelaNagar,2026-05-13,34.4,93,KharavelaNagar,0.5745142857142858,91.31104,0.9529085872576176,0.9587628865979382,0.7761608831589919,0.6442528131852517,0.7465343982278867
KharavelaNagar,2026-05-14,35.2,94,KharavelaNagar,0.5745142857142858,91.31104,0.9750692520775623,0.9690721649484536,0.7761608831589919,0.6442528131852517,0.7574605198259676
KharavelaNagar,2026-05-15,35.9,92,KharavelaNagar,0.5745142857142858,91.31104,0.9944598337950138,0.9484536082474226,0.7761608831589919,0.6442528131852517,0.7610930411727421
KharavelaNagar,2026-05-16,35.5,95,KharavelaNagar,0.5745142857142858,91.31104,0.9833795013850415,0.979381443298969,0.7761608831589919,0.6442528131852517,0.7628464752190625
BhoumaNagar,2026-05-10,32.7,96,BhoumaNagar,0.5427285714285714,58.656754,0.9058171745152355,0.9896907216494846,0.7332188211680242,0.4138577194697954,0.6963927937963452
BhoumaNagar,2026-05-11,33.7,93,BhoumaNagar,0.5427285714285714,58.656754,0.9335180055401663,0.9587628865979382,0.7332188211680242,0.4138577194697954,0.7012875591960084
BhoumaNagar,2026-05-12,34.5,94,BhoumaNagar,0.5427285714285714,58.656754,0.9556786703601108,0.9690721649484536,0.7332188211680242,0.4138577194697954,0.7122136807940893
BhoumaNagar,2026-05-13,34.4,93,BhoumaNagar,0.5427285714285714,58.656754,0.9529085872576176,0.9587628865979382,0.7332188211680242,0.4138577194697954,0.7090437918829888
BhoumaNagar,2026-05-14,35.2,94,BhoumaNagar,0.5427285714285714,58.656754,0.9750692520775623,0.9690721649484536,0.7332188211680242,0.4138577194697954,0.71996991348107
BhoumaNagar,2026-05-15,35.9,92,BhoumaNagar,0.5427285714285714,58.656754,0.9944598337950138,0.9484536082474226,0.7332188211680242,0.4138577194697954,0.7236024348278443
BhoumaNagar,2026-05-16,35.5,95,BhoumaNagar,0.5427285714285714,58.656754,0.9833795013850415,0.979381443298969,0.7332188211680242,0.4138577194697954,0.7253558688741646
KeshariNagar,2026-05-10,32.7,96,KeshariNagar,0.4142142857142857,130.12247,0.9058171745152355,0.9896907216494846,0.5595977921025206,0.9180901603586326,0.8319634877872135
KeshariNagar,2026-05-11,33.7,93,KeshariNagar,0.4142142857142857,130.12247,0.9335180055401663,0.9587628865979382,0.5595977921025206,0.9180901603586326,0.8368582531868767
KeshariNagar,2026-05-12,34.5,94,KeshariNagar,0.4142142857142857,130.12247,0.9556786703601108,0.9690721649484536,0.5595977921025206,0.9180901603586326,0.8477843747849575
KeshariNagar,2026-05-13,34.4,93,KeshariNagar,0.4142142857142857,130.12247,0.9529085872576176,0.9587628865979382,0.5595977921025206,0.9180901603586326,0.8446144858738571
KeshariNagar,2026-05-14,35.2,94,KeshariNagar,0.4142142857142857,130.12247,0.9750692520775623,0.9690721649484536,0.5595977921025206,0.9180901603586326,0.8555406074719382
KeshariNagar,2026-05-15,35.9,92,KeshariNagar,0.4142142857142857,130.12247,0.9944598337950138,0.9484536082474226,0.5595977921025206,0.9180901603586326,0.8591731288187126
KeshariNagar,2026-05-16,35.5,95,KeshariNagar,0.4142142857142857,130.12247,0.9833795013850415,0.979381443298969,0.5595977921025206,0.9180901603586326,0.8609265628650329
GangaNagar,2026-05-10,32.7,96,GangaNagar,0.4441714285714285,61.04708,0.9058171745152355,0.9896907216494846,0.6000694792913112,0.4307228679768089,0.7263956918730906
GangaNagar,2026-05-11,33.7,93,GangaNagar,0.4441714285714285,61.04708,0.9335180055401663,0.9587628865979382,0.6000694792913112,0.4307228679768089,0.7312904572727538
GangaNagar,2026-05-12,34.5,94,GangaNagar,0.4441714285714285,61.04708,0.9556786703601108,0.9690721649484536,0.6000694792913112,0.4307228679768089,0.7422165788708346
GangaNagar,2026-05-13,34.4,93,GangaNagar,0.4441714285714285,61.04708,0.9529085872576176,0.9587628865979382,0.6000694792913112,0.4307228679768089,0.7390466899597342
GangaNagar,2026-05-14,35.2,94,GangaNagar,0.4441714285714285,61.04708,0.9750692520775623,0.9690721649484536,0.6000694792913112,0.4307228679768089,0.7499728115578153
GangaNagar,2026-05-15,35.9,92,GangaNagar,0.4441714285714285,61.04708,0.9944598337950138,0.9484536082474226,0.6000694792913112,0.4307228679768089,0.7536053329045896
GangaNagar,2026-05-16,35.5,95,GangaNagar,0.4441714285714285,61.04708,0.9833795013850415,0.979381443298969,0.6000694792913112,0.4307228679768089,0.75535876695091
SuryaNagar,2026-05-10,32.7,96,SuryaNagar,0.4479714285714286,83.37804,0.9058171745152355,0.9896907216494846,0.6052032269270854,0.588280856596009,0.7568805400697758
